tower,map,lo,hi,order,value,stat,scale
mll,BW,66,116,1,0.0043173006,0.00034086822,0.0002160166
mll,BW,66,116,2,-0.32226281,0.00045806621,0.00014765668
mll,BW,66,116,3,-0.0029621036,0.00038041308,0.00010002722
mll,BW,66,116,4,-0.061607329,0.00045068509,0.00015427349
mll,BW,66,116,5,-0.0031583881,0.0003628122,9.2853087e-05
mll,BW,66,116,6,-0.027144847,0.00036347203,5.2011318e-05
mll,BW,66,116,7,-0.0020606672,0.00033403895,3.7438173e-05
mll,BW,66,116,8,-0.015399896,0.00039334052,0.0001132344
mll,BW,66,116,9,-0.0012095917,0.00033032597,1.9724967e-05
mll,BW,66,116,10,-0.011064362,0.00036214697,2.1601792e-05
mll,BW,66,116,11,-0.00087860579,0.00037051832,9.6651998e-05
mll,BW,66,116,12,-0.008128703,0.0003137766,2.9394976e-05
y_abs,lin,0,2.4,1,-0.14600168,0.00029791982,0.0010086466
y_abs,lin,0,2.4,2,-0.42412055,0.00022187128,0.00036541062
y_abs,lin,0,2.4,3,0.060691632,0.00022968392,0.0012471266
y_abs,lin,0,2.4,4,-0.0058415357,0.00025076829,0.00034368932
y_abs,lin,0,2.4,5,0.051536083,0.00040331011,0.00059689625
y_abs,lin,0,2.4,6,-0.013054191,0.00023006748,0.00041121931
y_abs,lin,0,2.4,7,0.0081976189,0.00034810689,0.00040026803
y_abs,lin,0,2.4,8,-0.0093456665,0.0002413422,0.00042324215
y_abs,lin,0,2.4,9,0.011903359,0.00040824427,0.00022128121
y_abs,lin,0,2.4,10,-0.0021620684,0.00035607765,0.0003262382
y_abs,lin,0,2.4,11,0.0068190834,0.00031493819,0.00010392494
y_abs,lin,0,2.4,12,-0.0028916009,0.00023570175,0.00028595117
pT_ll,log,30,2500,1,-0.62329256,7.1483199e-05,0.0031472837
pT_ll,log,30,2500,2,-0.14032175,0.00016747994,0.0066402594
pT_ll,log,30,2500,3,0.625854,0.00015164977,0.0025862659
pT_ll,log,30,2500,4,-0.57597313,0.00019669516,0.005835966
pT_ll,log,30,2500,5,0.24411361,0.00029807103,0.0092535841
pT_ll,log,30,2500,6,0.037589976,0.0003287181,0.0052466769
pT_ll,log,30,2500,7,-0.15882917,0.00032411633,0.00099838425
pT_ll,log,30,2500,8,0.1692748,0.00032649324,0.0032919081
pT_ll,log,30,2500,9,-0.13043488,0.00037693516,0.0031235902
pT_ll,log,30,2500,10,0.07370884,0.000403356,0.0019710377
pT_ll,log,30,2500,11,-0.01622249,0.00037496481,0.00085440636
pT_ll,log,30,2500,12,-0.028480238,0.00039667919,7.6490647e-05
pT_ll,log,30,2500,13,0.049631515,0.00044813974,0.00047143899
pT_ll,log,30,2500,14,-0.04567795,0.00043677813,0.00068045887
pT_ll,log,30,2500,15,0.026952878,0.00040339638,0.00064055738
pT_ll,log,30,2500,16,-0.0060909063,0.00042878453,0.00040997269
pT_ll,log,30,2500,17,-0.0094250339,0.00046245469,0.00012204465
pT_ll,log,30,2500,18,0.015642947,0.00044572375,0.00011822771
pT_ll,log,30,2500,19,-0.012690823,0.00044666406,0.00025100349
pT_ll,log,30,2500,20,0.0058783259,0.00050416034,0.00021583851
